Authors,Publication_year,Title,Publication_page_link,Authors_profile_page_link
Clouder D,2017,"Empowerment of physiotherapy students on placement: The interplay between autonomy, risk, and responsibility: The interplay between autonomy, risk, and responsibility",https://pureportal.coventry.ac.uk/en/publications/empowerment-of-physiotherapy-students-on-placement-the-interplay-,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
Gakhal S,2017,Evaluating student satisfaction at a top-performing UK university,https://pureportal.coventry.ac.uk/en/publications/evaluating-student-satisfaction-at-a-top-performing-uk-university,https://pureportal.coventry.ac.uk/en/persons/sandeep-gakhal
Grant C Tramontano C,2017,Exploring the relationship between remote e-working and work-related well-being.,https://pureportal.coventry.ac.uk/en/publications/exploring-the-relationship-between-remote-e-working-and-work-rela,"https://pureportal.coventry.ac.uk/en/persons/christine-grant, https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano"
Holmes S,2017,How to evaluate quality of teacher training? - Literature review and impact indicators framework for the pre-service teacher training programme in Jordan,https://pureportal.coventry.ac.uk/en/publications/how-to-evaluate-quality-of-teacher-training-literature-review-and,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
Holmes S,2017,Monitoring and evaluation of the pre-service teacher education programme – report,https://pureportal.coventry.ac.uk/en/publications/monitoring-and-evaluation-of-the-pre-service-teacher-education-pr,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
Wimpenny K Roe S,2017,Preparation for an uncertain world: international curriculum development for mental health occupational therapy,https://pureportal.coventry.ac.uk/en/publications/preparation-for-an-uncertain-world-international-curriculum-devel-6,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/sarah-roe"
Holmes S,2017,The impact of participation in music on learning mathematics,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-participation-in-music-on-learning-mathematics,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
Holmes S,2017,The impact of participation in music on learning mathematics.,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-participation-in-music-on-learning-mathematics-2,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
Clouder D,2017,"What Students Should Know, But Don't Know, They Don't Know, About Proving Their Trustworthiness To Clinical Educators",https://pureportal.coventry.ac.uk/en/publications/what-students-should-know-but-dont-know-they-dont-know-about-prov,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
Morini L,2016,A Less Lonely Place of Researching,https://pureportal.coventry.ac.uk/en/publications/a-less-lonely-place-of-researching,https://pureportal.coventry.ac.uk/en/persons/luca-morini
Johnson E,2016,Alienation and Affect in Milan,https://pureportal.coventry.ac.uk/en/publications/alienation-and-affect-in-milan,https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson
Evans A,2016,Linking attainment to interculturalism and global citizenship,https://pureportal.coventry.ac.uk/en/publications/linking-attainment-to-interculturalism-and-global-citizenship,https://pureportal.coventry.ac.uk/en/persons/alun-dewinter
Morini L,2016,Play as Bulwark of Uselessness,https://pureportal.coventry.ac.uk/en/publications/play-as-bulwark-of-uselessness,https://pureportal.coventry.ac.uk/en/persons/luca-morini
Lycett D Clouder D,2016,Protocol for Developing Spiritual Competencies in Dietetic Practice,https://pureportal.coventry.ac.uk/en/publications/protocol-for-developing-spiritual-competencies-in-dietetic-practi,"https://pureportal.coventry.ac.uk/en/persons/deborah-lycett, https://pureportal.coventry.ac.uk/en/persons/deanne-clouder"
Morini L,2016,The many times I saved the world (or died trying),https://pureportal.coventry.ac.uk/en/publications/the-many-times-i-saved-the-world-or-died-trying,https://pureportal.coventry.ac.uk/en/persons/luca-morini
Holmes S,2016,“I’ve always not been a racist”: do we need to reconsider teaching and learning about the Holocaust?,https://pureportal.coventry.ac.uk/en/publications/ive-always-not-been-a-racist-do-we-need-to-reconsider-teaching-an,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
Crawford M,2014,Developing as an Educational Leader and Manager,https://pureportal.coventry.ac.uk/en/publications/developing-as-an-educational-leader-and-manager,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
Holmes S,2014,Evaluation of the SkillForce 'Back on Track' programme,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-skillforce-back-on-track-programme,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
Holmes S,2014,Evaluation of the SkillForce 'Ethos' programme,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-skillforce-ethos-programme,https://pureportal.coventry.ac.uk/en/persons/sylwia-holmes
Bluteau P Clouder D,2014,Review of interprofessional education in the UK 1997–2003: Implanting Interprofessional Education in Qualifying Courses:  Eight Reflective Accounts – Coventry University & Warwick Medical School ,https://pureportal.coventry.ac.uk/en/publications/review-of-interprofessional-education-in-the-uk-19972003-implanti,"https://pureportal.coventry.ac.uk/en/persons/patricia-bluteau, https://pureportal.coventry.ac.uk/en/persons/deanne-clouder"
Crawford M,2014,The restructuring of schooling in England: The responses of well-positioned headteachers,https://pureportal.coventry.ac.uk/en/publications/the-restructuring-of-schooling-in-england-the-responses-of-well-p,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
Clouder D,2013,Enhancing Guidance for Disabled People Wanting to Become Health and Social Care Professionals Report,https://pureportal.coventry.ac.uk/en/publications/enhancing-guidance-for-disabled-people-wanting-to-become-health-a-3,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
Crawford M,2013,Enhancing school leadership: Evaluating the use of virtual learning communities,https://pureportal.coventry.ac.uk/en/publications/enhancing-school-leadership-evaluating-the-use-of-virtual-learnin,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
Morini L,2013,"Il Dito ed il Link: Pensiero ed Esperienza Quotidiana dei ""Nativi Digitali""",https://pureportal.coventry.ac.uk/en/publications/il-dito-ed-il-link-pensiero-ed-esperienza-quotidiana-dei-nativi-d,https://pureportal.coventry.ac.uk/en/persons/luca-morini
Karakuş M,2013,Measuring intellectual capital in primary schools and examining in terms of some variables,https://pureportal.coventry.ac.uk/en/publications/measuring-intellectual-capital-in-primary-schools-and-examining-i,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
Karakus M,2013,Turkish adaptation of the scale of “student perceptions of teachers’ knowledge (SPOTK)” and examining in the aspect of some variables,https://pureportal.coventry.ac.uk/en/publications/turkish-adaptation-of-the-scale-of-student-perceptions-of-teacher,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
Clouder L,2012,"Building confidence, competence and collaboration using technology enhanced learning resources",https://pureportal.coventry.ac.uk/en/publications/building-confidence-competence-and-collaboration-using-technology,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
Morini L,2012,"""Mappe per..."" - Transizioni verso un'ecologia sociale",https://pureportal.coventry.ac.uk/en/publications/mappe-per-transizioni-verso-unecologia-sociale-2,https://pureportal.coventry.ac.uk/en/persons/luca-morini
Morini L,2012,"""Mappe per..."" - Transizioni verso un'ecologia sociale",https://pureportal.coventry.ac.uk/en/publications/mappe-per-transizioni-verso-unecologia-sociale,https://pureportal.coventry.ac.uk/en/persons/luca-morini
Crawford M,2012,Mapping the Field over 40 Years: A Historical Review,https://pureportal.coventry.ac.uk/en/publications/mapping-the-field-over-40-years-a-historical-review,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
Angelov D,2010,Introduction,https://pureportal.coventry.ac.uk/en/publications/introduction-27,https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov
Angelov D,2010,Introduction,https://pureportal.coventry.ac.uk/en/publications/introduction-28,https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov
Wimpenny K,2010,Participatory action research: An integrated approach towards practice development,https://pureportal.coventry.ac.uk/en/publications/participatory-action-research-an-integrated-approach-towards-prac,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Angelov D,2008,A Heterogeneous Identity: The Case of the Etruscans,https://pureportal.coventry.ac.uk/en/publications/a-heterogeneous-identity-the-case-of-the-etruscans,https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov
Karakus M,2008,Eǧitim örgütlerinde entelektüel sermayenin yönetimi,https://pureportal.coventry.ac.uk/en/publications/e%C7%A7itim-%C3%B6rg%C3%BCtlerinde-entelekt%C3%BCel-sermayenin-y%C3%B6netimi,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
Wimpenny K,2006,Practising cultural sensitivity in virtual spaces,https://pureportal.coventry.ac.uk/en/publications/practising-cultural-sensitivity-in-virtual-spaces,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
Crawford M,2002,The charismatic school leader:  Potent myth or persuasive effect?,https://pureportal.coventry.ac.uk/en/publications/the-charismatic-school-leader-potent-myth-or-persuasive-effect,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
Crawford M,1997,Strategic and resource management in primary schools: Evidence from OfSTED inspection reports,https://pureportal.coventry.ac.uk/en/publications/strategic-and-resource-management-in-primary-schools-evidence-fro,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
